Name,Logo,City,Region,Continent,Link,LatLong
Ninho da Aguia,https://cafeninhodaaguia.com.br/wp-content/uploads/2018/06/logo-p-1.png,"Alta Capara¢, MG",Brazil,South America,https://cafeninhodaaguia.com.br/,"-20.414659, -41.860063"
BOGO,https://scontent-lga3-2.xx.fbcdn.net/v/t1.0-0/p552x414/43604410_447161285807893_2900038849713405952_n.png?_nc_cat=109&ccb=2&_nc_sid=85a577&_nc_ohc=pTSgRqV4pc8AX__P_zj&_nc_ht=scontent-lga3-2.xx&oh=d04cc7f4246d9a6a2939781cce15f8cc&oe=5FC27B09,S?o Paulo,Brazil,South America,https://bogo.cafe/,"-23.570750, -46.658490"
True Coffee,https://yata-apix-69009c02-d7d6-4b46-876c-11eedb62a407.lss.locawebcorp.com.br/b4c6c61b65d64060bca7b4a397bc3317.png,S?o Paulo,Brazil,South America,https://truecoffeeinc.com.br/,"-23.603297, -46.691211"
Libertario,https://libertariocoffee.co/wp-content/uploads/libertario_cafe-colombia-01.png,Bogota,Columbia,South America,https://libertariocoffee.co/,"4.652827, -74.054848"
Libertario,https://libertariocoffee.co/wp-content/uploads/libertario_cafe-colombia-01.png,Cartagena,Columbia,South America,https://libertariocoffee.co/,"10.422295, -75.545435"
Trinidad Coffee Estate,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/s150x150/118295250_174530567509770_4828126492787573754_n.jpg?_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_ohc=LOiL_skdoBEAX_khXTa&oh=17deec1a4cb9991690cfb662e2c619a3&oe=5FC76F4A,MÇrida,Venezuela,South America,https://www.instagram.com/trinidadcoffeeestate/,"8.334263, -71.789910"
Crema Coffee Garage,https://cremacoffeegarage.com.au/pub/static/version1603398233/frontend/TemplateMonster/theme764/en_AU/images/logo.png,Brisbane,Australia,Oceania,https://cremacoffeegarage.com.au/,"-27.417816, 152.994717"
Ona,https://onacoffee.com.au/wp-content/uploads/2016/07/ona-white.svg,Canberra,Australia,Oceania,https://onacoffee.com.au/,"-35.323943, 149.180145"
Stay Grounded,https://staygrounded.com.au/wp-content/uploads/2020/02/StayGrounded-Logo-1.png,"Joondalup, WA",Australia,Oceania,https://staygrounded.com.au/,"-31.745361, 115.762195"
Dawn Patrol,https://dawnpatrolcoffee.com.au/wp-content/themes/dawn-patrol/img/logo.png,"Chandlers Hill, SA",Australia,Oceania,https://dawnpatrolcoffee.com.au/,"-35.092646, 138.612637"
Motobean,https://cdn.shopify.com/s/files/1/0256/5655/7639/files/Motobean_LogoBlack_1_3x_014714d7-197e-4826-a640-d957dede1651_490x.png?v=1569901067,"Malsmbury, VIC",Australia,Oceania,https://www.motobean.com.au/,"-37.189408, 144.382768"
Margaret River,https://scontent-lga3-2.xx.fbcdn.net/v/t1.0-1/p960x960/95605280_3054862274535098_3627658016767082496_o.png?_nc_cat=106&ccb=2&_nc_sid=dbb9e7&_nc_ohc=XxaqQVJXQpMAX-kDMiL&_nc_ht=scontent-lga3-2.xx&oh=6f5d9a6b2a5ed793a89a529d84d0c6ad&oe=5FC3F450,"Margaret River, WA",Australia,Oceania,https://www.margaretriverroasting.com.au/,"-33.679935, 115.233266"
